114,ADRIAN,25,1390,38.397,-94.3804
115,ADRIAN,38,2211,43.7852,-117.368
116,ADRIAN,39,2227,40.8557,-79.5451
117,ADRIAN,44,2680,35.4053,-102.603
118,ADRIAN,50,3091,38.8993,-80.2269
119,ADVANCE,25,1487,37.0012,-90.0333
120,ADVANCE,28,1665,35.9454,-80.4487
121,ADVENT,50,3060,38.8249,-81.7066
122,AFTON,13,621,41.0336,-94.1971
123,AFTON,23,1229,45.3665,-84.4299
124,AFTON,24,1378,44.9072,-92.8162
125,AFTON,35,1970,42.2551,-75.5333
126,AFTON,37,2169,36.8222,-94.9162
127,AFTON,43,2438,36.2274,-82.734
128,AFTON,44,2565,33.6164,-100.779
129,AFTON,46,2867,37.9728,-78.8223
130,AFTON,51,3109,42.7113,-110.62
131,AGAR,42,2401,44.8026,-100.159
132,AGATE,6,251,39.3823,-104.085
133,AGATE,29,1775,48.7709,-99.7727
134,AGAWAM,20,1166,42.1405,-72.7887
135,AGENCY,13,623,40.979,-92.4262
136,AGENCY,25,1394,39.6311,-94.714
137,AGENDA,17,949,39.7044,-97.4465
138,AGNESS,38,2196,42.6569,-124.133
139,AGOURA HILLS,5,191,33.7866,-118.299
140,AGRA,17,944,39.7609,-99.1196
141,AGRA,37,2152,35.909,-96.8738
142,AGUANGA,5,205,33.5192,-116.803
143,AGUILAR,6,265,37.3816,-104.654
144,AH GWAH CHING,24,1307,46.8623,-94.6419
145,AHOSKIE,28,1681,36.3393,-76.9905
146,AHSAHKA,14,650,46.5074,-116.296
147,AHWAHNEE,5,192,37.379,-119.736
148,AIEA,12,531,21.3906,-157.928
149,AIKEN,41,2298,33.6042,-81.6456
150,AIKEN,44,2579,34.0715,-101.303
151,AILEY,11,473,32.1797,-82.5166
152,AIMWELL,19,1108,31.5963,-91.7794
153,AINSWORTH,13,625,41.3511,-91.5812
154,AINSWORTH,30,1797,42.5427,-99.8524
155,AIRVILLE,39,2291,39.8213,-76.4059
156,AITKIN,24,1297,46.5636,-93.4305
157,AJO,4,168,31.9701,-111.891
158,AKELEY,24,1325,46.9876,-94.7264
159,AKERS,19,1148,30.6124,-90.4053
160,AKRON,2,48,32.8553,-87.7219
161,AKRON,6,289,40.0733,-103.202
162,AKRON,13,608,42.8225,-96.463
163,AKRON,16,803,41.0479,-86.0692
164,AKRON,23,1292,43.5821,-83.5461
165,AKRON,35,1976,43.0138,-78.5253
166,AKRON,36,2100,41.0772,-81.5351
167,AKRON,39,2260,40.1299,-76.3611
168,ALABASTER,2,74,33.1934,-86.7944
169,ALACHUA,10,304,29.8027,-82.484
170,ALADDIN,51,3103,44.7382,-104.289
171,ALAMEDA,5,173,37.7528,-122.254
172,ALAMO,5,179,37.9367,-122.067
173,ALAMO,11,523,32.143,-82.8268
174,ALAMO,29,1788,48.5387,-103.473
175,ALAMO,34,1955,37.4725,-115.144
176,ALAMO,43,2425,35.8061,-89.0866
177,ALAMO,44,2610,26.2217,-98.2189
178,ALAMOGORDO,33,1932,32.7828,-105.781
179,ALAMOSA,6,232,37.4799,-105.791
180,ALANSON,23,1237,45.5398,-84.8058
