129,HOWARD,3,34.0265,-93.9784
130,SWEET GRASS,26,45.7649,-109.904
131,CALHOUN,40,33.6335,-80.788
132,PLYMOUTH,12,42.7601,-96.2802
133,MONTCALM,22,43.3225,-85.1503
134,MARSHALL,16,39.8257,-96.5385
135,HARVEY,16,38.0508,-97.4116
136,RADFORD,45,37.127,-80.5558
137,SCOTT,3,34.917,-94.1086
138,STOREY,33,39.3325,-119.614
139,GLADES,9,26.9165,-81.2523
140,BRANTLEY,10,31.1984,-81.9445
141,MUSKEGON,22,43.2922,-86.1827
142,FRONTIER,29,40.5565,-100.34
143,ISANTI,23,45.6356,-93.2894
144,GULF,9,29.9535,-85.2309
145,IRON,24,37.5668,-90.797
146,GILCHRIST,9,29.7119,-82.8384
147,BEXAR,43,29.3996,-98.4784
148,CLAY,49,38.4619,-81.0751
149,FARIBAULT,23,43.6788,-93.9276
150,CARROLL,10,33.6111,-85.0743
151,MARTIN,23,43.7062,-94.5786
152,BOONE,24,38.9625,-92.2633
153,FAYETTE,35,39.605,-83.5076
154,BLUE EARTH,23,44.0367,-94.0278
155,MUSCATINE,12,41.4824,-91.0751
156,CEDAR,29,42.5907,-97.2469
157,SCOTT,14,39.6122,-90.4289
158,SUFFOLK,19,42.3391,-71.0088
159,OXFORD,21,44.3672,-70.6605
160,FOREST,48,45.5802,-88.7117
161,GREENWOOD,16,37.8517,-96.1675
162,LAMPASAS,43,31.1889,-98.2069
163,SONOMA,5,38.4483,-122.882
164,OTTAWA,16,39.1164,-97.6767
165,PICKENS,10,34.4568,-84.4083
166,HARDIN,17,37.6914,-85.9912
167,DAGGETT,44,40.9632,-109.569
168,CHATTAHOOCHEE,10,32.2925,-84.7367
169,WASHINGTON,25,33.2899,-90.9713
170,SABINE,18,31.6018,-93.566
171,FAYETTE,43,29.9024,-96.8989
172,WASATCH,44,40.4725,-111.409
173,SHEBOYGAN,48,43.7036,-87.883
174,TRINITY,5,40.6635,-123.069
175,BARAGA,22,46.7341,-88.4164
176,MECKLENBURG,45,36.6737,-78.4055
177,GWINNETT,10,33.9581,-84.0522
178,DAWSON,43,32.7242,-101.927
179,KIOWA,16,37.6044,-99.2618
180,DOUGLAS,33,38.9784,-119.799
181,CLEVELAND,27,35.3192,-81.576
182,BACON,10,31.577,-82.4612
183,CASCADE,26,47.401,-111.374
184,LOGAN,35,40.3897,-83.7571
185,MONTGOMERY,15,40.0503,-86.9144
186,VERNON,18,31.1002,-93.2248
187,DARKE,35,40.1662,-84.6141
188,BRACKEN,17,38.6906,-84.0615
189,MCCREARY,17,36.7694,-84.4975
190,WINSTON,25,33.0412,-89.0882
191,WARREN,15,40.3041,-87.4062
192,ADAMS,47,46.874,-118.613
193,MADISON,9,30.5058,-83.3973
194,SHELBY,17,38.1993,-85.2131
195,BRONX,34,40.8474,-73.8759
196,LAMAR,10,33.1061,-84.1472
197,CALAVERAS,5,38.2097,-120.562
198,POCAHONTAS,49,38.3454,-80.0175
199,GRANT,16,37.5625,-101.309
200,KIMBLE,43,30.4982,-99.7316
201,FRANKLIN,24,38.426,-91.0186
202,CRITTENDEN,17,37.3129,-88.1492
203,DUKES,19,41.402,-70.6551
204,JUNEAU,48,43.8833,-90.1237
205,DENALI,1,63.5436,-149.987
206,STANLEY,41,44.4501,-100.726
207,DOOR,48,45.0585,-87.2165
208,FLORENCE,48,45.8346,-88.4611
209,JACKSON,15,38.8959,-86.0824
210,ROBERTSON,42,36.5064,-86.8206
211,WAUSHARA,48,44.1273,-89.2324
212,LIMESTONE,43,31.5478,-96.5685
213,NIAGARA,34,43.2288,-78.8226
214,WASHINGTON,17,37.7772,-85.1499
215,BRULE,41,43.7527,-99.1056
216,MURRAY,23,43.9727,-95.7054
217,MASON,17,38.6363,-83.858
218,LEELANAU,22,44.9543,-85.7831
219,JACKSON,24,39.0239,-94.419
220,CHEROKEE,10,34.2327,-84.4739
221,DUVAL,43,27.6945,-98.5166
222,FREDERICK,20,39.4507,-77.4124
223,WARREN,24,38.7267,-91.1203
224,OKALOOSA,9,30.6322,-86.5982
225,ADAIR,24,40.2066,-92.5465
226,BRYAN,10,32.0402,-81.475
227,FRANKLIN,15,39.4102,-85.0276
228,JOHNSON,12,41.6708,-91.5941
229,NOBLE,15,41.3846,-85.4321
230,WORTH,12,43.3463,-93.2885
231,AUTAUGA,2,32.5248,-86.6377
232,RICHLAND,48,43.3478,-90.3723
233,DEKALB,42,35.9965,-85.9307
234,TRAVERSE,23,45.7559,-96.5626
235,SEDGWICK,6,40.8756,-102.383
236,MARION,43,32.8009,-94.3274
237,EUREKA,33,39.9808,-116.288
238,MONTGOMERY,24,38.9563,-91.4308
239,LANIER,10,30.9952,-83.0563
240,DELTA,22,45.869,-86.9914
241,CLAY,3,36.3742,-90.4411
242,CAMP,43,32.9939,-94.9442
243,GILA,4,33.6471,-110.925
244,FILLMORE,23,43.6739,-92.0399
245,SEARCY,3,35.9027,-92.6597
246,SAUK,48,43.4048,-89.9492
247,CHESTER,42,35.4609,-88.5253
248,HANCOCK,35,40.9806,-83.6687
249,LA CROSSE,48,43.9056,-91.1206
250,HANOVER,45,37.761,-77.4933
251,MURRAY,36,34.5024,-97.0444
252,CIBOLA,32,35.0503,-107.987
253,COCHISE,4,31.7513,-109.938
254,BIBB,10,32.8159,-83.6725
255,CLAY,14,38.7415,-88.5004
